OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;1.0;SEQ_ARQUIVO_PAGAMENTO;NUMBER;22;N;0.0;6.0;1125862.0;0.0;NO;Chave sequencial da tabela;PK_ARQUIVO_PAGAMENTO (PRIMARY KEY: ENABLED)- SYS_C001528284 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;2.0;SEQ_INSTITUICAO_ARRECADADORA;NUMBER;22;N;0.0;3.0;8.0;0.0;NO;Chave sequencial da Institui�ao Arrecadadora;ARQUIVO_PAGAMENTO_UK1 (UNIQUE: ENABLED)- FK_INST_ARREC_R_ARQUIVO_PAG (FOREIGN KEY: ENABLED)- SYS_C001528285 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;16.0;STA_PROCESSAMENTO_PAGAMENTO;NUMBER;22;N;0.0;3.0;2.0;0.0;NO;"Indica o status de processamento do pagamento:
1 - Processado
2 - Pendente";CKC_STA_PROCESS_PAGTO (C: ENABLED)- SYS_C001528298 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;14.0;TIP_ORIGEM;NUMBER;22;N;0.0;3.0;3.0;0.0;NO;"Tipos de origem e transmissao:
1 - DAE
2 - GNRE
3 - DAS";ARQUIVO_PAGAMENTO_UK1 (UNIQUE: ENABLED)- CKC_TIP_ORIGEM_PAGAMENTO (C: ENABLED)- SYS_C001528296 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;15.0;TIP_PAGAMENTO_RECEBIDO;NUMBER;22;N;0.0;3.0;3.0;0.0;NO;"Indica se o arquivo de pagamento � do tipo:
1 - Rajada
2 - Consolidado
3 - Pago instant�neo";ARQUIVO_PAGAMENTO_UK1 (UNIQUE: ENABLED)- CKC_TIP_PAGAMENTO_RECEBIDO (C: ENABLED)- SYS_C001528297 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;8.0;VLR_TOTAL_REGISTRO;NUMBER;22;N;2.0;6.0;813952.0;0.0;NO;"Valor do total de registros indicado no arquivo ""Z"" - Trailler, na posi�ao 8 a 24 do arquivo de DAE e GNRE.
Valor do total de registros indicado no arquivo ""3"" - Trailler, na posi�ao 16 a 32 do arquivo de DAS";SYS_C001528291 (C: ENABLED)
RECEITA2;ARQUIVO_REJEITADO;Mant�m a informa�ao dos arquivos que foram rejeitados por padroniza�ao incorreta.;72282.0;N;2.0;COD_ERRO_ARQUIVO;NUMBER;22;N;0.0;3.0;7.0;0.0;NO;C�digo identificador de erro do arquivo, chave estrangeira da tabela ERRO_ARQUIVO.;FK_ERRO_ARQ_R_ARQ_REJEITADO (FOREIGN KEY: ENABLED)- SYS_C001528261 (C: ENABLED)
RECEITA2;ARQUIVO_REJEITADO;Mant�m a informa�ao dos arquivos que foram rejeitados por padroniza�ao incorreta.;72282.0;N;7.0;DAT_REJEITADO;DATE;7;N;;8.0;31094.0;0.0;NO;Data em que o arquivo foi rejeitado;SYS_C001528266 (C: ENABLED)
RECEITA2;ARQUIVO_REJEITADO;Mant�m a informa�ao dos arquivos que foram rejeitados por padroniza�ao incorreta.;72282.0;N;4.0;DSC_PASTA_DESTINO;VARCHAR2;150;N;;39.0;5.0;0.0;NO;Descri�ao do caminho de destino do arquivo.;SYS_C001528263 (C: ENABLED)
RECEITA2;ARQUIVO_REJEITADO;Mant�m a informa�ao dos arquivos que foram rejeitados por padroniza�ao incorreta.;72282.0;N;3.0;DSC_PASTA_ORIGEM;VARCHAR2;150;N;;34.0;5.0;0.0;NO;Descri�ao do caminho de origem do arquivo.;SYS_C001528262 (C: ENABLED)
