OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
COPAF;FAIXA_PERCENTUAL_1A_PARCELA;3;N;1;SEQ_FAIXA_PERC_1A_PARCELA;NUMBER;22;N;0;4;3;0;NO;;SYS_C00118060 (C: ENABLED)- SYS_C00136406 (PRIMARY KEY: ENABLED)
COPAF;FAIXA_PERCENTUAL_1A_PARCELA;3;N;2;VLR_PERCENTUAL_1A_PARCELA;NUMBER;22;Y;2;3;3;0;NO;;SYS_C00136405 (C: ENABLED)
COPAF;FAIXA_PERCENTUAL_1A_PARCELA;3;N;3;NUM_QUANTIDADE_MAX_PARCELAS;NUMBER;22;N;0;3;3;0;NO;;SYS_C00118063 (C: ENABLED)
COPAF;FAIXA_PERCENTUAL_1A_PARCELA;3;N;4;NUM_QUANTIDADE_MIN_PARCELAS;NUMBER;22;N;0;3;3;0;NO;;SYS_C00118066 (C: ENABLED)
COPAF;FAIXA_PERCENTUAL_1A_PARCELA;3;N;5;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0;4;2;0;NO;;FK_FAIXA_PERCENTUAL_1A_PARCELA_R_DECRETO_PARCELAMENTO (FOREIGN KEY: ENABLED)- SYS_C00118069 (C: ENABLED)
COPAF;LOG_EVENTO;93;N;1;SEQ_LOG_EVENTO;NUMBER;22;N;0;4;93;0;NO;;SYS_C00142280 (PRIMARY KEY: ENABLED)- SYS_C0072659 (C: ENABLED)
COPAF;LOG_EVENTO;93;N;2;DAT_LOG_EVENTO;TIMESTAMP(6);11;N;6;11;93;0;NO;;SYS_C0072660 (C: ENABLED)
COPAF;LOG_EVENTO;93;N;3;TIP_EVENTO;VARCHAR2;255;N;;24;5;0;NO;;SYS_C0072661 (C: ENABLED)
COPAF;LOG_EVENTO;93;N;4;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;Y;0;2;18;73;NO;; (: )
COPAF;LOG_EVENTO;93;N;5;SEQ_PARCELAMENTO;NUMBER;22;Y;0;5;70;20;NO;;FK_PARCELAMENTO_R_LOG (FOREIGN KEY: ENABLED)
COPAF;LOG_EVENTO;93;N;6;SEQ_USUARIO;NUMBER;22;Y;0;4;3;25;NO;;FK_USUARIO_R_LOG (FOREIGN KEY: ENABLED)
COPAF;LOG_EVENTO;93;N;7;DSC_VALOR;CLOB;4000;Y;;1675;0;0;NO;; (: )
COPAF;LOG_EVENTO;93;N;8;DSC_MENSAGEM;CLOB;4000;Y;;0;0;93;NO;; (: )
COPAF;MENSAGEM_DEBITOS;1728;N;1;SEQ_MENSAGEM_DEBITOS;NUMBER;22;N;0;4;1728;0;NO;;SYS_C001594576 (C: ENABLED)- SYS_C001594580 (PRIMARY KEY: ENABLED)
COPAF;MENSAGEM_DEBITOS;1728;N;2;DAT_MENSAGEM;TIMESTAMP(6);11;N;6;11;1728;0;NO;;SYS_C001594577 (C: ENABLED)
COPAF;MENSAGEM_DEBITOS;1728;N;3;DSC_IDENTIFICADOR;VARCHAR2;255;N;;42;1728;0;NO;;SYS_C001594578 (C: ENABLED)
COPAF;MENSAGEM_DEBITOS;1728;N;4;DSC_VALOR;CLOB;4000;N;;324;0;0;NO;;SYS_C001594579 (C: ENABLED)
COPAF;PARCELA;461;N;1;SEQ_PARCELA;NUMBER;22;N;0;4;461;0;NO;;SYS_C00118103 (C: ENABLED)- SYS_C00127582 (PRIMARY KEY: ENABLED)
COPAF;PARCELA;461;N;2;DAT_VENCIMENTO;TIMESTAMP(6);11;N;6;11;249;0;NO;;SYS_C00118104 (C: ENABLED)
COPAF;PARCELA;461;N;3;NUM_PARCELA;NUMBER;22;N;0;3;60;0;NO;;SYS_C00118105 (C: ENABLED)
COPAF;PARCELA;461;N;4;NUM_PERCENTUAL;FLOAT;22;N;;5;39;0;NO;;SYS_C00118107 (C: ENABLED)
COPAF;PARCELA;461;N;5;COD_RECEITA;NUMBER;22;N;0;4;3;0;NO;;FK_COD_RECEITA_R_PARCELA (FOREIGN KEY: ENABLED)- SYS_C00118109 (C: ENABLED)
COPAF;PARCELA;461;N;6;SEQ_PARCELAMENTO;NUMBER;22;N;0;6;64;0;NO;;FK_PARCELAMENTO_R_PARCELA (FOREIGN KEY: ENABLED)- SYS_C00118115 (C: ENABLED)
COPAF;PARCELA;461;N;7;SEQ_DOCUMENTO_CREDITO;NUMBER;22;Y;0;2;17;444;NO;;FK_DOCUMENTO_CREDITO_R_PARCELA (FOREIGN KEY: ENABLED)
COPAF;PARCELA;461;N;8;SEQ_DAE_EMITIDO;NUMBER;22;Y;0;0;0;461;NO;; (: )
COPAF;PARCELAMENTO;70;N;1;SEQ_PARCELAMENTO;NUMBER;22;N;0;6;70;0;NO;;SYS_C00143763 (PRIMARY KEY: ENABLED)- SYS_C0074076 (C: ENABLED)
COPAF;PARCELAMENTO;70;N;2;DAT_ABERTURA;TIMESTAMP(6);11;N;6;11;24;0;NO;;SYS_C0074077 (C: ENABLED)
COPAF;PARCELAMENTO;70;N;3;DAT_FINAL;TIMESTAMP(6);11;Y;6;9;22;20;NO;; (: )
COPAF;PARCELAMENTO;70;N;4;NUM_PROCESSO;VARCHAR2;256;Y;;0;0;70;NO;; (: )
COPAF;PARCELAMENTO;70;N;5;DSC_OBSERVACAO;VARCHAR2;4000;Y;;0;0;70;NO;; (: )
COPAF;PARCELAMENTO;70;N;6;QTD_PARCELAS;NUMBER;22;N;0;3;11;0;NO;;SYS_C0074078 (C: ENABLED)
COPAF;PARCELAMENTO;70;N;7;STA_PARCELAMENTO;NUMBER;22;N;0;3;9;0;NO;;SYS_C0074079 (C: ENABLED)
COPAF;PARCELAMENTO;70;N;8;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0;4;12;0;NO;;FK_DEC_PAR_R_PARCEL (FOREIGN KEY: ENABLED)- SYS_C0074080 (C: ENABLED)
COPAF;PARCELAMENTO;70;N;9;COD_ORGAO_LOCAL;NUMBER;22;Y;0;6;8;0;NO;;FK_ORG_LOCAL_R_PARCEL (FOREIGN KEY: ENABLED)
COPAF;PARCELAMENTO;70;N;10;COD_ORGAO_LOCAL_INC;NUMBER;22;Y;0;5;1;24;NO;;FK_ORG_LOCAL_INC_R_PARCEL (FOREIGN KEY: ENABLED)
COPAF;PARCELAMENTO;70;N;11;SEQ_PESSOA;NUMBER;22;Y;0;6;15;0;NO;;FK_PESSOA_R_PARCEL (FOREIGN KEY: ENABLED)
COPAF;PARCELAMENTO;70;N;12;SEQ_SOCIO;NUMBER;22;Y;0;0;0;70;NO;; (: )
COPAF;PARCELAMENTO;70;N;13;STA_PARCELAMENTO_INTERNET;NUMBER;22;Y;0;3;2;7;NO;; (: )
COPAF;PARCELAMENTO;70;N;14;DSC_URL_TERMO_ALFRESCO;VARCHAR2;1000;Y;;51;15;55;NO;; (: )
COPAF;PARCELAMENTO;70;N;15;DSC_ID_ARQUIVO_TERMO_ALFRESCO;VARCHAR2;256;Y;;10;15;55;NO;; (: )
COPAF;PARCELAMENTO;70;N;16;DSC_HASH_DOCUMENTO_ALFRESCO;VARCHAR2;128;Y;;31;64;6;NO;; (: )
COPAF;PARCELAMENTO;70;N;17;PER_REF_INICIO_MESES_CONSECUTIVOS;VARCHAR2;7;Y;;0;0;70;NO;; (: )
COPAF;PARCELAMENTO;70;N;18;NUM_TERMO_NOTIFICACAO_PERDA;VARCHAR2;9;Y;;0;0;70;NO;; (: )
COPAF;PARCELAMENTO;70;N;19;SEQ_PARCELAMENTO_ORIGINAL;NUMBER;22;Y;0;2;3;67;NO;; (: )
COPAF;PARCELAMENTO;70;N;20;SEQ_DECRETO_REFIS_A_VISTA;NUMBER;22;Y;0;2;1;69;NO;;FK_DEC_VISTA_PAR_R_PARCEL (FOREIGN KEY: ENABLED)
COPAF;RECEITA_DECRETO_PARCELAMENTO;14;N;1;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0;4;8;0;NO;;FK_DECRETO_R_RECEITA_DECRETO (FOREIGN KEY: ENABLED)- PK_RECEITA_DECRETO_PARCEL (PRIMARY KEY: ENABLED)- SYS_C00120788 (C: ENABLED)
COPAF;RECEITA_DECRETO_PARCELAMENTO;14;N;2;COD_RECEITA;NUMBER;22;N;0;4;9;0;NO;;FK_RECEITA_R_RECEITA_DECRETO (FOREIGN KEY: ENABLED)- PK_RECEITA_DECRETO_PARCEL (PRIMARY KEY: ENABLED)- SYS_C00120790 (C: ENABLED)
COPAF;REGIME_DECRETO_PARCELAMENTO;3;N;1;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0;4;3;0;NO;;FK_DECRETO_R_REGIME_DECRETO (FOREIGN KEY: ENABLED)- SYS_C00106803 (C: ENABLED)
COPAF;REGIME_DECRETO_PARCELAMENTO;3;N;2;COD_REGIME_RECOLHIMENTO;NUMBER;22;N;0;3;1;0;NO;;FK_REGIME_R_REGIME_DECRETO (FOREIGN KEY: ENABLED)- SYS_C00106804 (C: ENABLED)
COPAF;TABELA_TESTE;;N;1;SEQ_TABELA_TESTE;NUMBER;22;N;0;;;;NO;;SYS_C00129609 (PRIMARY KEY: ENABLED)- SYS_C0089659 (C: ENABLED)
