"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";10;"TP_BLOQUEIO";"VARCHAR2";2;"Y";;3;2;0;0,5;"NO";1;"RE - Usuário solicitou para não participar do sorteio, RS - Usuário impedido por regra de segurança, IM - Inserido manualmente através da Extranet2";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";11;"ID_HISTORICO";"NUMBER";22;"N";0;5;5911;0;0,000169176112332939;"NO";1;"Sequencial da tabela";"SYS_C00247383 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";12;"TM_HISTORICO";"DATE";7;"Y";;8;1415;0;0,000706713780918728;"NO";1;"Data/Hora da inclusão do histórico";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";13;"TX_MOTIVO_DESBLOQUEIO";"VARCHAR2";500;"Y";;2;40;5842;0,025;"NO";1;"Texto do motivo do desbloqueio do usuário";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";14;"CNPJ";"VARCHAR2";14;"Y";;8;826;3338;0,00121065375302663;"NO";1;"CNPJ que está na nota que colocou o usuário em bloqueio por regra de segurança";" (, )"
"SUANOTA";"APP_BLACK_LIST_USUARIO_HIST";15;"TM_NOTIFICACAO";"DATE";7;"Y";;2;269;5478;0,00371747211895911;"NO";1;"Data/Hora da notificação do bloqueio ao usuario";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA";1;"ID_APP_CHAMADA_TEL_FILA";"NUMBER";22;"N";;0;0;0;0;"NO";0;"Sequencial da tabela";"PK_ID_APP_CHAMADA_TEL_FILA (PRIMARY KEY, ENABLED); SYS_C00247384 (CHECK, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA";2;"NU_DDD_CELULAR";"VARCHAR2";4;"N";;0;0;0;0;"NO";0;"Número do DDD do celular do usuário";"SYS_C00247385 (CHECK, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA";3;"NU_CELULAR";"VARCHAR2";9;"N";;0;0;0;0;"NO";0;"Número do celular do usuário";"SYS_C00247386 (CHECK, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA";4;"ID_APP_CHAMADA_TEL_FILA_FAIXA_ITENS";"NUMBER";22;"Y";;0;0;0;0;"NO";0;"FK da Tabela APP_CHAMADA_TEL_FILA_FAIXA";"APPCHAMA_APPCHFIT_FK (FOREIGN KEY, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA";5;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que incluiu o registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA";6;"TM_INCLUSAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de inclusão do registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA";7;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA";8;"TM_ALTERACAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de alteração do registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA";9;"TM_SOLICITACAO_LIGACAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora da solicitação da Ligação";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";1;"ID_APP_CHAMADA_TEL_FILA_FAIXA";"NUMBER";22;"N";;0;0;0;0;"NO";0;"Sequencial da Tabela";"PK_ID_APP_CHAMADA_TEL_FILA_FAIXA (PRIMARY KEY, ENABLED); SYS_C00247387 (CHECK, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";2;"TX_APP_CHAMADA_TEL_FILA_FAIXA";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Descrição da faixa da fila de chamadas";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";3;"ST_APP_CHAMADA_TEL_FILA_FAIXA";"VARCHAR2";2;"Y";;0;0;0;0;"NO";0;"Situação da faixa da fila de chamados 'AT' Ativo, 'IN' Inativo";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";4;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que incluiu o registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";5;"TM_INCLUSAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de inclusão do registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";6;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA";7;"TM_ALTERACAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de alteração do registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";1;"ID_APP_CHAMADA_TEL_FILA_FAIXA_ITENS";"NUMBER";22;"N";;0;0;0;0;"NO";0;"Sequencial da tabela";"PK_ID_APP_CHAMADA_TEL_FILA_FAIXA_ITENS (PRIMARY KEY, ENABLED); SYS_C00247388 (CHECK, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";2;"ID_APP_CHAMADA_TEL_FILA_FAIXA";"NUMBER";22;"Y";;0;0;0;0;"NO";0;"FK da tabela APP_CHAMADA_TEL_FILA_FAIXA";"APPCHAMA_APPCHFI_FK (FOREIGN KEY, ENABLED)"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";3;"NU_FAIXA";"NUMBER";22;"Y";;0;0;0;0;"NO";0;"Número da faixa";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";4;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que incluiu o registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";5;"TM_INCLUSAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de inclusão do registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";6;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_CHAMADA_TEL_FILA_FAIXA_ITENS";7;"TM_ALTERACAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de alteração do registro na tabela";" (, )"
